experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #267,SVM,0.9792256846081208,0.9745516207933408,0.9861667156905908,0.978643216080402,0.9717221305557132,0.9870444404338355,0.9936224489795918,0.9600788823950333,0.9776240936457048,0.9860759493670886,0.9661617282710206,0.9816205454686966
experiment #267,Neural Network,0.9641170915958452,0.9803832268589716,0.987510627690374,0.9960106382978724,0.9830544554716344,0.9917523128812956,0.9553571428571428,0.988126514752502,0.9941146983812126,0.9752604166666666,0.9868667878759368,0.99162055223249
experiment #267,Decision Tree,0.9811142587346552,0.9728361543720008,0.981840879547463,0.9872448979591836,0.9615938076918548,0.97628080752767,0.9872448979591836,0.966529161541901,0.977320912239316,0.9872448979591836,0.9644877052929994,0.9761975198688682
experiment #268,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #268,Neural Network,0.7412653446647781,0.7929731179562663,0.8179909652195373,0.7410207939508506,0.8066154993148608,0.8254083880686008,1.0,0.9424206956359316,0.9657551059447408,0.8512486427795874,0.8718923106883584,0.8872360155210993
experiment #268,Decision Tree,0.9584513692162416,0.8300884689441171,0.846576652145871,0.9707379134860052,0.7763858221367143,0.7991129512399698,0.9732142857142856,0.7762849731903907,0.8026849084502863,0.9719745222929936,0.7767973808438859,0.7996019791831206
experiment #269,SVM,0.980169971671388,0.9774466715806812,0.986291959513944,0.979874213836478,0.9736674442996516,0.986432159912958,0.9936224489795918,0.9650705296175054,0.9795104531250672,0.986700443318556,0.9701010501504091,0.981851052744582
experiment #269,Neural Network,0.9603399433427762,0.9771141595355036,0.9870046834220167,0.9933510638297872,0.9826111309875472,0.9916257668816386,0.9528061224489796,0.9843748159053436,0.993300439508137,0.97265625,0.9846382898971292,0.9912840273756404
experiment #269,Decision Tree,0.9773371104815864,0.969711830521559,0.9766547564884632,0.981012658227848,0.956677331385932,0.9719659549472,0.9885204081632653,0.9626785525071484,0.9687937656425556,0.9847522236340532,0.9605482414028772,0.9691883424099532
experiment #270,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #270,Neural Network,0.7478753541076487,0.8552817574069078,0.8882735445155518,0.7459562321598477,0.8628756485338153,0.8926661518740188,1.0,0.9553354887535684,0.9690685464581515,0.8544959128065395,0.9079630989722828,0.9279450976062368
experiment #270,Decision Tree,0.9480642115203022,0.849711915082037,0.878719086808322,0.9679075738125802,0.8020583290273359,0.8414553995774393,0.9617346938775512,0.8058288345180791,0.8414309033636655,0.9648112603966732,0.8040902578006972,0.8406136210688369
experiment #271,SVM,0.9792256846081208,0.9752087434466762,0.9847541627130412,0.978643216080402,0.9715415570941568,0.9852898820710811,0.9936224489795918,0.9618659848526436,0.9758115065355816,0.9860759493670886,0.9671187721250049,0.9797442302089628
experiment #271,Neural Network,0.9603399433427762,0.9795116597496154,0.9864939756607352,0.9959893048128342,0.9828411338058158,0.9914414569548192,0.9502551020408164,0.9869703227876268,0.9932430036918438,0.9725848563968668,0.9862777291680364,0.990934470066678
experiment #271,Decision Tree,0.980169971671388,0.9708553997866884,0.980796346120506,0.9872286079182632,0.95914649376928,0.9744882834878736,0.985969387755102,0.9634049324449858,0.976958045104834,0.9865985960433952,0.961923692463624,0.9748095578260738
experiment #272,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #272,Neural Network,0.7403210576015109,0.8133813307547205,0.8554099093922282,0.7403210576015109,0.8170261281278361,0.8558788856456863,1.0,0.9542430341368928,0.9818515491696675,0.8507867607162235,0.885088044739193,0.909147638344934
experiment #272,Decision Tree,0.9527856468366384,0.8375690433831975,0.859131031517826,0.9645569620253164,0.7868919164685712,0.8148405287742008,0.971938775510204,0.7905973122071236,0.8149023394301812,0.9682337992376112,0.7888468829058941,0.8143091755695155
experiment #273,SVM,0.9792256846081208,0.9767958192289576,0.985432664560321,0.9798488664987406,0.9734648418972084,0.9856364322229632,0.9923469387755102,0.9632203595830288,0.9784031068196748,0.9860583016476552,0.9691800137507544,0.980704778597762
experiment #273,Neural Network,0.9603399433427762,0.976956741510962,0.9856483874258,0.9933510638297872,0.9811820785103872,0.9911006015785506,0.9528061224489796,0.984291496994173,0.9933824733200336,0.97265625,0.9845503918189016,0.9903737084560598
experiment #273,Decision Tree,0.975448536355052,0.9662499408329126,0.9767161397035212,0.9821882951653944,0.9558697155084088,0.9719795960559876,0.9846938775510204,0.953852596978494,0.9685388877269347,0.98343949044586,0.9555328772720776,0.96932341464631
experiment #274,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #274,Neural Network,0.7573182247403211,0.8604985257747748,0.885681878690753,0.7531219980787704,0.8692801668523488,0.8958784628696236,1.0,0.9485811439531672,0.9661833616048874,0.8591780821917808,0.910635576969184,0.9259918751600724
experiment #274,Decision Tree,0.939565627950897,0.8582960186147464,0.8761755724969991,0.9568527918781726,0.8138047146147582,0.8366879132778051,0.9617346938775512,0.8137381987524814,0.8424678529171885,0.9592875318066156,0.8142780021879696,0.8382699519705068
